Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,Number of iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,RANDOM,1000,130498.7459444598,23825.702293305483,4315723.7,4124721,6612152,4254984.0,30,4232613.0,4386554.0,153941.0,4157053.0,4228629.0,4507137,4226852,4465420,4282672,4261012,4238337,4241643,4226874,4801730,4241601,4386554,4387869,4509858,4243089,4336791,4328577,4528884,4239041,4233853,4238031,4221021,4228841,4276024,4254984,4271209,4219475,4232613,4225127,4387963,4228629
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,DESC,1000,125017.33777877904,22824.938660226693,4642014.2,4454765,5288642,4621398.0,30,4530618.0,4774468.0,243850.0,4562680.0,4608238.0,4769632,4819315,4857010,4774913,4776386,4774785,4774916,4826265,4774468,4491938,4454765,4651100,4483310,4737092,4454875,4728723,4455165,4668209,4477883,4617251,4530618,4556290,4556178,4621398,4617514,4690832,4499120,4596683,4615554,4608238
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,ASC,100,9.967781431525605,1.81985957944257,925.9,906,18527,924.0,30,920.0,932.0,12.0,18527.0,932.0,925,919,946,920,932,906,921,914,938,935,922,909,921,922,924,932,927,915,937,923,946,919,920,927,924,932,946,918,925,932
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,RANDOM,100,498.0307007493503,90.92754971017473,86179.43333333333,85468,92702,86071.0,30,85879.0,86262.0,383.0,92702.0,85947.0,86096,85718,85737,86829,87887,86071,85879,86398,85934,85925,85629,86032,85976,86830,87174,85716,85468,85858,86481,86218,86262,86123,85971,86864,86011,86159,85857,86232,86101,85947
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,DESC,100,288.57380338485336,52.68612720631495,86980.6,86647,137678,86922.0,30,86808.0,87019.0,211.0,103811.0,86740.0,86993,87055,87061,87877,86942,87019,87074,86799,86973,86821,86813,86763,86717,87676,86751,86803,86776,86808,86835,86923,86875,86961,86922,87807,87035,86848,87010,86902,86839,86740
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,ASC,1000,227.88419329904292,41.60577105625114,13234.833333333334,12987,26805,13156.0,30,13094.0,13280.0,186.0,26805.0,13409.0,13258,13191,13156,13152,13879,13191,13280,13168,13143,13073,13286,13027,13094,13114,13092,13130,13023,13078,13096,13244,12987,13112,13797,13154,13084,13380,13871,13275,13301,13409
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,RANDOM,1000,621850.0633583674,113533.76902913152,1.2866520166666666E7,11310484,17116159,1.2854688E7,30,1.231866E7,1.3143332E7,824672.0,1.1416701E7,1.210798E7,12854688,13122960,13545458,13092467,13663258,13363708,14448570,14002639,13729982,13107954,13143332,13176894,12955617,13081997,12957353,12721482,12763445,12678286,12811814,12653649,12624461,12735577,12318660,12177244,12311022,12070831,12254875,11748135,11771267,12107980
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,DESC,1000,168177.72744522386,30704.911663901592,1.09835704E7,10034459,11462834,1.0990873E7,30,1.0947783E7,1.1022983E7,75200.0,1.076744E7,1.096394E7,10958745,11462834,11029558,10840874,11297633,10998145,10990873,11022983,10982559,10924088,10981848,11001618,11073774,11002822,10960263,11136827,10998481,11015426,10585379,10939562,11053691,10953362,10922960,11126619,10947783,10865465,10984313,10482370,11002317,10963940
BUBBLE_SORT_WHILE_NEEDED,INTEGER,ASC,100,405.4812353515539,74.03040641570243,3088.9666666666667,2858,24872,2955.0,30,2929.0,3007.0,78.0,24872.0,2955.0,2961,3024,3494,2963,3098,2903,2923,2948,2953,2940,2929,4573,4495,3015,2997,2959,2923,2938,2891,2871,2938,2902,2910,3320,3007,2995,2957,2938,2949,2955
BUBBLE_SORT_WHILE_NEEDED,INTEGER,RANDOM,100,26174.569749387585,4778.800761577308,119264.36666666667,94967,313345,104817.0,30,101370.0,138686.0,37316.0,313345.0,125896.0,103606,104229,104817,103761,107177,109569,104261,101370,108613,205262,99241,149693,99046,138686,102050,157265,101574,154956,100321,163729,102854,146234,97389,140115,98332,128350,96073,126504,96958,125896
