Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_PASS_PER_ITEM,SHORT,RANDOM,10000,3036316.7770154746,554353.0635009196,3.365711944E8,330380292,511501333,3.3627325E8,30,3.33549625E8,3.39266458E8,5716833.0,3.43793E8,3.35915375E8,341383833,338670166,339239583,341309250,340612167,338715875,337503417,340300708,339150500,340847541,339266458,339436375,339442791,338006459,334190791,336273250,335408709,333008625,334218667,332834583,334112458,333158250,332429292,331940208,334658292,333387375,334999334,333165875,333549625,335915375
BUBBLE_SORT_PASS_PER_ITEM,SHORT,DESC,10000,1123270.0486358611,205080.1146025954,3.149269263E8,311741584,333089833,3.14674958E8,30,3.14083667E8,3.159175E8,1833833.0,3.16466166E8,3.15960042E8,315987042,316003125,315869875,315903958,316291375,315917500,315884625,316226708,312899208,312778292,313483791,313914417,313376625,314443958,314566250,314510083,314096541,314918292,314300625,314644625,314674958,313838375,313839291,314083667,314523208,317201833,315962542,315830792,315876166,315960042
BUBBLE_SORT_PASS_PER_ITEM,STRING,ASC,100,33.39860276518565,6.097722707882199,38357.0,37583,309250,38375.0,30,38333.0,38375.0,42.0,309250.0,38334.0,38333,38333,38375,38333,38375,38334,38375,38292,38375,38375,38375,38375,38375,38292,38375,38375,38375,38375,38334,38333,38417,38333,38375,38333,38334,38375,38334,38458,38333,38334
BUBBLE_SORT_PASS_PER_ITEM,STRING,RANDOM,100,474.2966500221378,86.594324722086,54591.566666666666,54375,73375,54500.0,30,54458.0,54542.0,84.0,73375.0,54500.0,54458,54458,54500,54458,57125,54458,54500,54500,54500,54458,54542,54416,54500,54500,54583,54500,54500,54542,54458,54500,54666,54667,54416,54417,54542,54458,54500,54542,54583,54500
BUBBLE_SORT_PASS_PER_ITEM,STRING,DESC,100,493.67092165620704,90.1315665918234,47684.76666666667,47500,58000,47584.0,30,47583.0,47625.0,42.0,55709.0,47625.0,47625,47625,47542,47583,47583,47583,47542,47625,47625,47584,47625,47542,47541,47667,47583,47583,47583,47584,47708,47625,47500,47583,47625,47584,47625,47584,47541,50334,47584,47625
BUBBLE_SORT_PASS_PER_ITEM,STRING,ASC,1000,31462.474841291314,5744.235728504675,4700395.833333333,4558000,6640458,4696416.0,30,4683875.0,4713791.0,29916.0,5178167.0,4714125.0,4720958,4720333,4834375,4703917,4710333,4722084,4688750,4707542,4711833,4731208,4686417,4696416,4725542,4713791,4660459,4688791,4668959,4694625,4659166,4673125,4680584,4697791,4670542,4686791,4692459,4702042,4672083,4692959,4683875,4714125
BUBBLE_SORT_PASS_PER_ITEM,STRING,RANDOM,1000,31820.730209444002,5809.643910666189,7635329.266666667,7449542,8015125,7633875.0,30,7618542.0,7656708.0,38166.0,7518750.0,7710917.0,7630500,7678917,7630000,7633875,7590250,7633334,7582333,7656708,7622834,7622750,7590750,7618542,7573500,7616417,7577041,7631250,7670000,7642417,7616250,7641792,7657125,7649625,7636917,7686667,7656084,7662750,7663208,7650250,7626875,7710917
BUBBLE_SORT_PASS_PER_ITEM,STRING,DESC,1000,13522.708615469346,2468.897515754005,4939333.366666666,4910000,5320167,4938417.0,30,4929834.0,4949042.0,19208.0,5160250.0,4964458.0,4931750,4949791,4919417,4941458,4942875,4959000,4921208,4935417,4929834,4966125,4920084,4937500,4935084,4949042,4922041,4941750,4935750,4959208,4925292,4944708,4928417,4950125,4934459,4942750,4935583,4957750,4914167,4938417,4946541,4964458
BUBBLE_SORT_PASS_PER_ITEM,STRING,ASC,10000,1.4459492215243261E7,2639930.0187863596,9.471960805666667E8,904143417,1022278542,9.52158667E8,30,9.313625E8,9.59228583E8,2.7866083E7,1.022278542E9,9.26985084E8,931362500,937516750,938995958,931792125,930572167,927648375,927346167,956319208,964623292,967148792,964333375,961990041,957906417,971874208,962815209,955056666,960958459,954026500,959228583,958529500,953544083,952158667,949046958,951585583,943534875,931644167,929913292,929494208,927931208,926985084
BUBBLE_SORT_PASS_PER_ITEM,STRING,RANDOM,10000,9258255.274261625,1690318.4189514236,1.0501570777666667E9,1026217625,1365386583,1.054430583E9,30,1.045139667E9,1.056175375E9,1.1035708E7,1.045924041E9,1.067714209E9,1055389458,1046385167,1058116916,1056175375,1059265500,1035032375,1033169000,1038406500,1031076416,1045139667,1060388417,1054430583,1056737959,1054864583,1055929083,1055711125,1039710917,1035982375,1045440042,1036085583,1046382750,1055777750,1052264583,1052293709,1055267500,1056654041,1052391209,1054174625,1058354916,1067714209
